age,annual_income,credit_score,debt_to_income_ratio,loan_amount,employment_years,employment_type,education_level,marital_status,property_ownership,loan_approved
60,8494993.88377838,489.0,0.35824165003698405,36484325.495664015,0.0,Full-time,Bachelor,Single,Mortgage,Approved
27,1000000.0,524.0,0.0990194228951583,29176247.35682033,25.0,Full-time,Bachelor,Married,Rent,Approved
30,2323729.8197820378,765.0,0.7580763972920734,6350260.823772218,0.0,Full-time,High School,Married,Rent,Rejected
35,4122980.7725404757,398.0,0.5964462488988447,9731624.912618179,5.0,Full-time,Master,Single,Rent,Rejected
58,7930848.841688562,662.0,0.2743824436707504,3024098.9541517757,18.0,Self-employed,High School,Divorced,Own,Rejected
66,6064932.109335886,382.0,0.25299974051184704,40652665.512059376,6.0,Full-time,High School,Divorced,Rent,Rejected
43,2510496.802057707,,0.9756233704823213,28033532.877166513,23.0,Self-employed,Bachelor,Single,Rent,Rejected
40,6357840.650884993,321.0,0.8625010408930913,16520683.783860384,4.0,Full-time,Bachelor,Single,Own,Approved
42,3172530.5347964247,484.0,0.8097983293737647,7190900.199381801,,Part-time,High School,Married,Mortgage,Approved
68,6741063.868430711,821.0,0.12801770864166562,24718247.92205858,27.0,Full-time,Bachelor,Divorced,Mortgage,Approved
57,6077929.994707981,563.0,0.7551872742482605,26737805.989179,17.0,Part-time,Master,Married,Own,Approved
66,3163776.3711503353,524.0,0.21454022120328653,35395476.54804476,23.0,Full-time,High School,Married,Rent,Rejected
27,4868091.1329562105,337.0,0.9773889432082408,48526923.311907485,25.0,Full-time,Bachelor,Single,Own,Rejected
26,7449367.52317851,422.0,0.0520891879622577,22312330.98996136,12.0,Self-employed,High School,Married,Mortgage,Rejected
21,1215925.3856734948,455.0,0.3521384835602436,20895676.123124097,,Full-time,Bachelor,Married,Rent,Rejected
49,5602217.6142374305,,0.4286478407787152,19126570.224916004,,Full-time,High School,Single,Rent,Rejected
32,2786201.3562327153,366.0,0.8242029115622544,41519271.53937619,8.0,Full-time,PhD,Married,Rent,Rejected
42,4967624.781502382,693.0,0.7662228180040461,8659543.848562656,16.0,Self-employed,Bachelor,Single,Rent,Rejected
48,5915524.47371456,704.0,0.3749921449465896,17846832.27811938,0.0,Full-time,Master,Married,Mortgage,Rejected
57,9026337.947856681,748.0,0.5655602934580408,36523569.43889415,0.0,Part-time,High School,Single,Mortgage,Rejected
56,4947404.438323959,430.0,0.8355951636077303,1769051.8317798777,6.0,Full-time,Master,Single,Rent,Rejected
39,7931051.318443852,368.0,0.018199592151052713,15179655.456679039,3.0,Full-time,Master,Married,Rent,Approved
52,3319003.6265019886,644.0,0.8021780995244722,32430910.97498078,27.0,Self-employed,Master,Single,Rent,Approved
48,4009959.8740330464,619.0,0.9468960253420421,10111652.80203943,22.0,Full-time,Master,Married,Own,Rejected
69,6174117.191697366,476.0,0.03206452148417116,15832817.887089288,20.0,Part-time,High School,Single,Own,Approved
34,5403522.096813924,828.0,0.04558098707818259,24816208.64967823,11.0,Full-time,Bachelor,Single,Rent,Approved
42,4343162.236345396,459.0,0.3445140055660201,21679154.732514672,15.0,Full-time,Bachelor,Single,Mortgage,Rejected
61,4288971.108624629,832.0,0.08776956376767453,6195332.307813563,13.0,Full-time,Bachelor,Single,Mortgage,Approved
22,7666589.111837001,434.0,0.47927608029388824,46973530.790525995,22.0,Full-time,Master,Single,Own,Approved
56,4423115.657944853,410.0,0.7287106850897787,3170343.3085225457,9.0,Part-time,High School,Married,Rent,Rejected
48,2958301.358567806,582.0,0.5668992350318177,37737395.06471808,13.0,Part-time,High School,Single,Own,Rejected
64,3290248.751484558,819.0,0.19643190907274033,4499715.783466716,6.0,Full-time,High School,Single,Mortgage,Approved
27,6339802.271363232,493.0,0.6548113000303577,23897494.348228887,3.0,Full-time,Master,Married,Mortgage,Rejected
41,9513044.902424907,346.0,0.6848544791789158,9595153.29111514,1.0,Full-time,Master,Single,Own,Approved
48,3952034.6334040323,641.0,0.9324459556850146,7913792.025017339,23.0,Part-time,Bachelor,Married,Mortgage,Rejected
21,9297251.050713526,541.0,0.14679689737704904,7169000.850544529,17.0,Self-employed,Bachelor,Single,Mortgage,Approved
60,4978318.464880352,821.0,0.6923361649097234,23186545.198071774,15.0,Full-time,Bachelor,Single,Own,Rejected
68,4440375.54004073,669.0,0.9114272188531475,26258760.559977323,8.0,Full-time,Bachelor,Married,Rent,Approved
69,3179445.856736496,430.0,0.5015641533206342,7535840.1835991535,4.0,Full-time,High School,Divorced,Rent,Rejected
64,4603972.3995017,569.0,0.3617996798630564,48990390.78304574,8.0,Unemployed,Bachelor,Single,Own,Rejected
20,3487718.719695923,360.0,0.17074949422115826,13630528.456248933,24.0,Self-employed,Bachelor,Married,Rent,Rejected
63,3327238.351978632,463.0,0.8667868864897577,23483225.640536375,29.0,Full-time,Bachelor,Single,Own,Rejected
39,1695899.4647886748,824.0,0.39424637484059444,11597208.322493494,7.0,Full-time,High School,Single,Rent,Approved
40,8532233.369299227,571.0,0.9248824432676923,25202209.62702773,23.0,Full-time,Master,Divorced,Mortgage,Approved
56,7128771.883067957,432.0,0.8477582981307762,38044812.54079392,19.0,Full-time,Master,Single,Rent,Approved
27,5543200.735244989,543.0,0.3766398517971957,26533998.700430267,15.0,Part-time,Bachelor,Married,Own,Rejected
46,4711968.0766318375,733.0,0.5739143089462625,14996794.665184706,29.0,Full-time,Master,Single,Own,Rejected
66,4988839.4044664055,337.0,0.027174036293921455,13171433.827962967,19.0,Self-employed,Bachelor,Married,Rent,Rejected
54,3446182.142215256,618.0,0.2632214028671347,38187785.90512562,29.0,Full-time,Bachelor,Married,Rent,Rejected
25,2732297.000030869,809.0,0.7102728485692497,6793670.6105869,17.0,Full-time,Bachelor,Married,Rent,Approved
64,6434828.226461817,675.0,0.6779109458462668,19128358.225887604,3.0,Part-time,Master,Single,Own,Rejected
63,4475554.609815481,773.0,0.35336945954175103,8422653.116040383,15.0,Full-time,Bachelor,Married,Mortgage,Rejected
38,5651471.426057781,358.0,0.8086080319094565,13640815.635429615,3.0,Self-employed,Bachelor,Married,Mortgage,Rejected
37,,798.0,0.2358360518998711,8481478.391762657,5.0,Full-time,Bachelor,Married,Mortgage,Rejected
20,4369142.39605066,517.0,0.4612705331522716,44451852.91857891,2.0,Full-time,Master,Married,Rent,Rejected
44,2693280.3911251063,428.0,0.4725306353109008,36863305.75163856,17.0,Part-time,Master,Married,Rent,Rejected
46,5968111.504689872,682.0,0.3408167688700171,28485435.056168806,14.0,Full-time,Bachelor,Married,Own,Rejected
26,6990555.705154371,687.0,0.9546661011251673,11996835.902281122,7.0,Full-time,Master,Single,Mortgage,Rejected
63,7919398.778427638,384.0,0.6966840335151013,26001114.53276055,,Unemployed,Bachelor,Married,Own,Rejected
61,3742040.534108283,809.0,0.5391993353273016,26520827.115931045,23.0,Full-time,PhD,Married,Mortgage,Approved
48,2744201.8159352625,736.0,0.5105150933886485,29929782.557041403,22.0,Full-time,Master,Single,Rent,Approved
50,4162812.7840554644,592.0,0.15929609247109655,3944172.703913841,2.0,Self-employed,High School,Married,Mortgage,Approved
63,3601374.1559725753,348.0,0.37218689706809827,48672196.58863861,5.0,Full-time,Master,Divorced,Mortgage,Rejected
62,5862466.752292874,366.0,0.6727733147291074,23806509.559415832,21.0,Full-time,Bachelor,Married,Rent,Rejected
55,2194435.4157481953,428.0,0.9245702196867337,46400056.93085606,25.0,Full-time,PhD,Single,Mortgage,Rejected
38,1491209.8754385195,328.0,0.8164640593918385,1480597.6209848416,,Full-time,Master,Single,Own,Approved
25,4307103.405285251,642.0,0.30038980395997117,13130361.386130136,20.0,Unemployed,High School,Married,Mortgage,Rejected
44,6453012.128798848,844.0,0.4339566256899333,6095782.945353446,28.0,Full-time,Bachelor,Divorced,Mortgage,Approved
50,2945086.6178187607,418.0,0.08291752071279457,38711192.69038381,23.0,Full-time,Bachelor,Divorced,Mortgage,Rejected
28,6698226.591212818,432.0,0.10217232303558077,16686127.43014085,14.0,Full-time,Master,Married,Own,Approved
39,5730675.468053867,626.0,0.4702303869987151,42184132.9123716,26.0,Full-time,Master,Married,Own,Approved
29,8093591.173478748,484.0,0.5302194068171001,41786882.92007699,11.0,Part-time,Bachelor,Single,Mortgage,Approved
56,3395490.667125821,805.0,0.26402709569691396,33721944.84752192,4.0,Full-time,Bachelor,Single,Mortgage,Rejected
46,1787056.266406275,833.0,0.6427826891859413,33623308.37365488,6.0,Part-time,Bachelor,Single,Own,Rejected
32,6197083.520430217,540.0,0.7033806855801378,35307824.91158362,21.0,Full-time,High School,Single,Own,Approved
60,5559749.07568952,815.0,0.2991161316119577,34014427.89685895,26.0,Part-time,High School,Married,Own,Rejected
21,5404996.014389038,464.0,0.7584247257075418,19958509.526533104,14.0,Full-time,Bachelor,Married,Mortgage,Rejected
69,2904344.591491435,517.0,0.20560491903913336,34458554.58385875,6.0,Full-time,High School,Married,Mortgage,Approved
40,6550301.214651327,304.0,0.5442513772755738,44972941.49042557,12.0,Part-time,High School,Divorced,Rent,Rejected
52,3733148.3858498577,380.0,0.8042810935621733,17296101.10195456,24.0,Full-time,High School,Divorced,Own,Rejected
43,5404120.957353264,546.0,0.5370090856825553,47299562.284532726,2.0,Full-time,Master,Married,Rent,Approved
63,4080863.7764981166,792.0,0.9079627185210506,1665497.8070397167,25.0,Full-time,High School,Married,Own,Approved
61,5708763.180568671,685.0,0.05850123287463582,18105044.37499662,22.0,Full-time,High School,Single,Mortgage,Approved
53,2609739.0973700206,606.0,0.5883138454914718,7472821.68470827,12.0,Part-time,High School,Married,Rent,Rejected
28,5999356.614491987,842.0,0.5617554525443901,7204371.62320616,25.0,Full-time,Bachelor,Single,Rent,Rejected
21,6315178.519047886,306.0,0.6603533285426847,40956045.20656685,2.0,Self-employed,Bachelor,Single,Mortgage,Rejected
49,5231956.316565394,814.0,0.8334068386803076,46000047.42275602,28.0,Full-time,High School,Divorced,Rent,Rejected
41,8287793.450403388,372.0,0.725853084338395,39110154.457416296,1.0,Self-employed,Bachelor,Single,Rent,Rejected
65,5414320.641624761,309.0,0.7902827353728418,48854170.230635434,27.0,Full-time,Master,Single,Mortgage,Rejected
30,6837507.520073338,421.0,0.2888167257176215,11600119.538147265,22.0,Self-employed,Bachelor,Married,Own,Approved
62,5184833.595598095,812.0,0.3874973785689646,7899195.698274832,3.0,Full-time,Bachelor,Married,Mortgage,Rejected
36,,740.0,0.6267769740462303,26514485.319941062,,Full-time,Bachelor,Single,Own,Approved
55,1933391.368677151,337.0,0.5534614719249352,41622843.12238828,5.0,Self-employed,High School,Single,Mortgage,Rejected
32,5065889.594750173,644.0,0.9611038749705365,2952115.451064925,10.0,Full-time,Master,Divorced,Own,Approved
26,2746129.274403277,637.0,0.18683449993441936,49782717.38899422,5.0,Full-time,Master,Single,Own,Rejected
35,5280854.391223569,483.0,0.3512783724511417,30510050.53106082,21.0,Part-time,Bachelor,Married,Rent,Approved
52,5768385.420020145,366.0,0.5727552332848548,48968148.796887495,1.0,Full-time,Bachelor,Married,Mortgage,Approved
64,6614995.226091708,316.0,0.867963769936152,18889000.02845507,16.0,Full-time,Master,Married,Mortgage,Rejected
20,5979819.852811162,682.0,0.9293485246909917,23443167.206145875,2.0,Full-time,Bachelor,Single,Own,Approved
30,4326294.070445719,667.0,0.33603633082759854,37865710.67747221,11.0,Part-time,High School,Married,Own,Rejected
25,,615.0,0.06710846152635164,39842322.07750461,13.0,Full-time,Bachelor,Married,Rent,Approved
39,1000000.0,796.0,0.4216196979221851,12418619.614161773,1.0,Self-employed,Bachelor,Single,Rent,Rejected
54,5137705.155701104,,0.3943441432335071,46560253.22907841,21.0,Part-time,Master,Single,Mortgage,Rejected
63,,772.0,0.9864870679296895,43503732.9699017,28.0,Part-time,Bachelor,Single,Rent,Rejected
56,5216786.933296389,414.0,0.4310612442907894,1892059.8520567298,27.0,Full-time,High School,Married,Mortgage,Approved
60,4830496.617543577,399.0,0.30572299930322944,7299837.186903971,21.0,Self-employed,Bachelor,Married,Mortgage,Rejected
45,5286114.577098821,737.0,0.365377374534934,25308758.2139463,28.0,Full-time,Master,Single,Rent,Rejected
31,4224581.200113807,644.0,0.39692628062381385,23586820.191545952,4.0,Self-employed,High School,Single,Mortgage,Rejected
49,5389935.771681109,648.0,0.821540382196616,35711151.89670693,9.0,Full-time,Master,Married,Own,Rejected
47,4190072.6773748165,438.0,0.08101489283126417,5395857.426598667,9.0,Part-time,Bachelor,Married,Own,Rejected
46,3202237.201956838,623.0,0.3165070488750267,32597910.0281592,20.0,Full-time,Master,Married,Mortgage,Approved
61,4849402.810716169,601.0,0.9663184919070996,31202126.625594538,8.0,Full-time,Bachelor,Single,Own,Approved
38,4805794.118770665,593.0,0.15310250479879994,12447360.325424174,29.0,Full-time,Bachelor,Single,Own,Rejected
24,8750340.174252575,828.0,0.74260132153259,27577304.249151573,20.0,Full-time,Bachelor,Married,Mortgage,Rejected
24,3388620.0139957773,591.0,0.3563935011982904,11888153.142803116,12.0,Full-time,Master,Single,Rent,Rejected
60,4681116.591963994,373.0,0.5817855261945254,8199228.327929711,9.0,Full-time,Bachelor,Married,Rent,Rejected
46,4486669.347276959,783.0,0.09954803850888205,29083611.798049454,5.0,Full-time,Bachelor,Married,Mortgage,Approved
47,4104634.3348391177,315.0,0.30641166735394654,48896239.636727944,10.0,Part-time,High School,Single,Rent,Rejected
45,6026210.478213303,825.0,0.5008649416608882,12609734.109415507,3.0,Full-time,High School,Married,Mortgage,Approved
46,9475926.035648435,635.0,0.2317006581758584,18411471.318402443,25.0,Full-time,Master,Married,Own,Approved
68,4358345.606658781,815.0,0.5418699430531522,13572088.07351229,13.0,Part-time,High School,Married,Rent,Rejected
61,6031788.983239077,426.0,0.21975931406271632,14056531.260678241,29.0,Self-employed,Master,Married,Mortgage,Rejected
40,1175256.0181055772,817.0,0.6501005526505539,20805414.575147353,16.0,Full-time,Bachelor,Married,Rent,Approved
20,4212940.940031937,428.0,0.9043543402503142,35390920.02188039,19.0,Full-time,PhD,Married,Mortgage,Rejected
47,8110482.2792243995,810.0,0.08548863735157142,2901421.677516312,1.0,Full-time,High School,Married,Mortgage,Approved
67,4890039.2131040385,722.0,0.21661603577608635,47899085.58859245,9.0,Part-time,High School,Single,Mortgage,Rejected
34,6004680.030018584,684.0,0.8444230272603299,3267714.0949731274,2.0,Part-time,High School,Single,Rent,Rejected
36,3754497.727741622,531.0,0.6315534854419576,44181405.91528343,6.0,Part-time,Master,Divorced,Rent,Rejected
45,5515114.383712931,494.0,0.07870891714256523,44824526.839337945,6.0,Full-time,Bachelor,Divorced,Mortgage,Rejected
39,8265552.493572162,364.0,0.48635011510949533,26699970.191984642,0.0,Self-employed,High School,Married,Rent,Rejected
44,2679834.0754617956,576.0,0.20975851501133502,7712844.602329405,7.0,Full-time,Master,Married,Rent,Approved
32,9373085.01035158,523.0,0.19909639407006974,28692152.55729025,22.0,Full-time,Master,Single,Rent,Rejected
52,1908111.6362119163,577.0,0.9406453433605237,31802975.835239634,0.0,Full-time,Master,Married,Own,Approved
44,4028996.3130289833,665.0,0.761541548076109,43030188.932548456,7.0,Full-time,High School,Divorced,Own,Rejected
27,3328165.63044083,815.0,0.6962305935241437,27993873.412708916,13.0,Part-time,Bachelor,Married,Mortgage,Rejected
24,4455078.0364655135,,0.23892881707785862,21124760.399263572,13.0,Part-time,Master,Single,Rent,Rejected
25,3302194.2493518507,738.0,0.11857343304095047,42076268.49885158,1.0,Unemployed,Bachelor,Single,Own,Rejected
42,3150560.6730141025,727.0,0.8708326212853501,49066638.07027833,7.0,Full-time,High School,Married,Mortgage,Rejected
49,2626506.7889767587,695.0,0.00587956934245093,32610057.05273873,18.0,Unemployed,High School,Married,Rent,Rejected
33,6288107.257112442,508.0,0.3880964237010196,43844964.82783767,9.0,Part-time,PhD,Single,Mortgage,Rejected
42,4524084.008118839,800.0,0.27761250296133355,30338020.528624147,6.0,Full-time,High School,Married,Own,Rejected
30,4000979.1606009845,762.0,0.5703762003488236,34799611.579104975,12.0,Self-employed,Master,Single,Mortgage,Rejected
50,5564513.821164322,526.0,0.2505084358858347,34720188.75989702,21.0,Part-time,Bachelor,Married,Rent,Approved
25,2010728.977818881,674.0,0.31120535932830795,35534562.355173,20.0,Full-time,Master,Married,Mortgage,Rejected
30,5612745.087932693,799.0,0.8500398549931936,16729658.752503047,14.0,Self-employed,Bachelor,Married,Own,Rejected
32,4812461.197957508,392.0,0.6031888234045187,29207408.417313904,10.0,Part-time,Bachelor,Married,Rent,Rejected
31,4873924.339941544,759.0,0.14568252732936837,30112643.614715975,25.0,Part-time,Bachelor,Married,Own,Approved
21,6038333.50181389,620.0,0.7264715434958315,16438509.708948366,13.0,Self-employed,Master,Married,Mortgage,Rejected
54,8287048.017586984,309.0,0.2074592014798784,18142766.01747952,10.0,Full-time,Bachelor,Married,Own,Approved
55,5645949.483909718,602.0,0.4330049301124801,38350091.48581902,1.0,Part-time,Master,Divorced,Mortgage,Rejected
36,4600250.984390435,621.0,0.6466072368392933,29553468.190245207,1.0,Part-time,Bachelor,Single,Own,Rejected
47,2634711.224848131,755.0,0.27192953745748727,8311346.250195261,28.0,Full-time,Bachelor,Divorced,Own,Approved
47,1000000.0,577.0,0.3841068146757922,42044212.445460744,11.0,Full-time,Bachelor,Single,Rent,Rejected
41,5255768.334325725,837.0,0.7341495973041509,44272600.066641666,14.0,Part-time,High School,Single,Mortgage,Rejected
57,2480733.3196382653,692.0,0.9379109534243434,23840916.249932893,16.0,Full-time,Master,Married,Mortgage,Approved
26,1000000.0,394.0,0.529245056959473,11236464.16912342,13.0,Part-time,High School,Married,Mortgage,Rejected
34,4298259.153801486,406.0,0.009970971556622743,47432718.274840355,24.0,Self-employed,PhD,Single,Mortgage,Rejected
51,5478963.471523755,689.0,0.3384637512418305,44231208.66145924,15.0,Full-time,PhD,Married,Own,Rejected
30,6488607.633071883,825.0,0.39863433484553445,12974705.570750087,26.0,Full-time,High School,Married,Mortgage,Rejected
43,,370.0,0.33917362000224405,5684093.078832173,7.0,Full-time,High School,Single,Rent,Approved
22,6751424.327190097,675.0,0.43626886111556273,22592026.76990623,23.0,Full-time,Bachelor,Married,Mortgage,Rejected
49,6805150.059208134,667.0,0.6326662538183997,34143452.33819324,16.0,Self-employed,PhD,Single,Own,Rejected
25,,350.0,0.12112802699775316,9594040.675777258,4.0,Full-time,Bachelor,Married,Mortgage,Rejected
21,4700808.725186484,442.0,0.2726305088675055,26147420.263155654,11.0,Full-time,Bachelor,Married,Own,Rejected
33,6159671.133189225,718.0,0.5076480860176246,21845359.21935332,5.0,Part-time,Master,Single,Rent,Rejected
60,5092749.230290601,847.0,0.3155733081799751,44637006.289703816,17.0,Part-time,High School,Divorced,Own,Approved
37,4689701.446834999,799.0,0.9910853381353594,22048765.0075493,25.0,Full-time,Bachelor,Married,Own,Approved
63,5056180.039824618,466.0,0.43143146703748825,27155043.293016843,4.0,Part-time,High School,Married,Rent,Rejected
50,5491067.9964183,559.0,0.8697991535922163,47809023.60408929,5.0,Full-time,Bachelor,Married,Mortgage,Rejected
32,4846212.589128679,491.0,0.8965098356138644,15684896.527853664,8.0,Part-time,High School,Married,Mortgage,Approved
45,3307441.2851818665,501.0,0.8360069997223499,15160555.665155128,14.0,Full-time,Bachelor,Single,Own,Approved
63,1594351.7857247523,484.0,0.04689824094516781,40180158.917160094,9.0,Full-time,Master,Single,Own,Rejected
31,4591945.677057516,457.0,0.9477467316133514,14599410.321054464,16.0,Self-employed,Bachelor,Married,Rent,Rejected
37,5114965.508610548,398.0,0.12874256213317692,41761427.63358705,28.0,Full-time,Bachelor,Married,Mortgage,Rejected
28,5093159.162951883,540.0,0.034403627714294505,5681244.8587206025,25.0,Full-time,High School,Single,Own,Approved
68,6905842.127164423,790.0,0.4143696079065575,6451801.118163952,18.0,Self-employed,Bachelor,Divorced,Rent,Approved
40,7261212.602045853,,0.19463403275785607,45164845.333975814,11.0,Part-time,High School,Single,Own,Approved
67,4791954.392461514,808.0,0.18419652966323619,27499801.84163933,8.0,Full-time,Bachelor,Single,Rent,Approved
68,4806270.327006382,395.0,0.2878196133761506,36221899.0680177,14.0,Part-time,High School,Single,Own,Rejected
59,6146257.199141301,789.0,0.24840560524685484,12039155.70126467,13.0,Self-employed,High School,Married,Own,Rejected
62,5853096.7590359505,517.0,0.6847954021501531,9147444.050723307,0.0,Part-time,High School,Divorced,Own,Rejected
43,4114883.5963973315,826.0,0.18677730663607006,41912758.849399365,16.0,Full-time,Bachelor,Single,Own,Approved
53,6318027.672277551,572.0,0.5431183051972586,18572546.94413919,0.0,Part-time,Bachelor,Married,Own,Approved
27,4707251.182101036,518.0,0.9864265461435298,23296598.336977728,22.0,Part-time,Bachelor,Single,Rent,Rejected
63,,631.0,0.43238242095628887,2370622.96649259,28.0,Self-employed,High School,Married,Own,Rejected
52,5867227.590177281,752.0,0.6418731087954365,19908155.975455355,20.0,Full-time,Bachelor,Single,Own,Rejected
42,4397666.760513486,451.0,0.9693716777298736,38751452.598123945,,Part-time,Bachelor,Married,Own,Rejected
32,5189345.014980007,646.0,0.13763899804136426,41242483.6870223,12.0,Full-time,Bachelor,Married,Mortgage,Approved
68,5595088.612883098,713.0,0.4186070092930494,35238984.65524455,29.0,Part-time,Master,Married,Rent,Rejected
33,6634357.11893242,826.0,0.8501924001952541,34916806.94364337,7.0,Unemployed,Bachelor,Single,Mortgage,Rejected
33,6496281.1605505515,730.0,0.9323056827448798,25805724.063260738,29.0,Full-time,High School,Single,Rent,Rejected
35,5534088.9535366595,678.0,0.6012360579589051,27378137.133731328,12.0,Full-time,Bachelor,Married,Own,Approved
